2023-02-28 13:26:28,082.082 INFO:	gpus = [0]
2023-02-28 13:26:28,139.139 INFO:	gpu device = 0
2023-02-28 13:26:28,140.140 INFO:	args = Namespace(arch_learning_rate=0.0003, arch_search_method='DARTS', arch_weight_decay=0.001, batch_size=16, cutout=False, cutout_length=16, data='../data', drop_path_prob=0.3, early_stopping=0, epochs=50, gpu='0', grad_clip=5, group_id=0, init_channels=16, lambda_train_regularizer=1, lambda_valid_regularizer=1, layers=20, learning_rate=0.025, learning_rate_min=0.001, model_path='saved_models', momentum=0.9, optimization='DARTS', report_freq=50, run_id=0, save='search-EXP-20230228-132625', seed=0, train_portion=0.5, unrolled=False, w_update_times=1, weight_decay=0.0003)
2023-02-28 13:26:31,808.808 INFO:	param size = 4.548954MB
2023-02-28 13:26:31,855.855 INFO:	Client structure identified
2023-02-28 13:26:31,860.860 INFO:	Iterate days: benign
2023-02-28 13:26:31,875.875 INFO:	Iterate days: benign
2023-02-28 13:26:31,887.887 INFO:	Iterate days: benign
2023-02-28 13:26:31,900.900 INFO:	Iterate days: benign
2023-02-28 13:26:31,923.923 INFO:	Iterate days: benign
2023-02-28 13:26:31,933.933 INFO:	Iterate days: benign
2023-02-28 13:26:31,943.943 INFO:	Iterate days: benign
2023-02-28 13:26:31,951.951 INFO:	Iterate days: benign
2023-02-28 13:26:31,960.960 INFO:	Iterate days: malicious
2023-02-28 13:26:31,963.963 INFO:	Iterate days: benign
2023-02-28 13:26:31,971.971 INFO:	Iterate days: benign
2023-02-28 13:26:31,979.979 INFO:	Client structure identified
2023-02-28 13:26:31,984.984 INFO:	Iterate days: benign
2023-02-28 13:26:31,993.993 INFO:	Iterate days: benign
2023-02-28 13:26:32,003.003 INFO:	Iterate days: benign
2023-02-28 13:26:32,011.011 INFO:	Iterate days: benign
2023-02-28 13:26:32,020.020 INFO:	Iterate days: benign
2023-02-28 13:26:32,028.028 INFO:	Iterate days: benign
2023-02-28 13:26:32,037.037 INFO:	Iterate days: benign
2023-02-28 13:26:32,064.064 INFO:	Iterate days: benign
2023-02-28 13:26:32,072.072 INFO:	Iterate days: benign
2023-02-28 13:26:32,088.088 INFO:	Iterate days: benign
2023-02-28 13:26:32,099.099 INFO:	Client structure identified
2023-02-28 13:26:32,105.105 INFO:	Iterate days: benign
2023-02-28 13:26:32,113.113 INFO:	Iterate days: benign
2023-02-28 13:26:32,121.121 INFO:	Iterate days: malicious
2023-02-28 13:26:32,124.124 INFO:	Iterate days: benign
2023-02-28 13:26:32,133.133 INFO:	Iterate days: benign
2023-02-28 13:26:32,141.141 INFO:	Iterate days: benign
2023-02-28 13:26:32,150.150 INFO:	Iterate days: benign
2023-02-28 13:26:32,160.160 INFO:	Iterate days: benign
2023-02-28 13:26:32,172.172 INFO:	Iterate days: benign
2023-02-28 13:26:32,182.182 INFO:	Iterate days: malicious
2023-02-28 13:26:32,184.184 INFO:	Iterate days: benign
2023-02-28 13:26:32,192.192 INFO:	Iterate days: benign
2023-02-28 13:26:32,199.199 INFO:	Client structure identified
2023-02-28 13:26:32,204.204 INFO:	Iterate days: benign
2023-02-28 13:26:32,210.210 INFO:	Iterate days: malicious
2023-02-28 13:26:32,214.214 INFO:	Iterate days: benign
2023-02-28 13:26:32,218.218 INFO:	Iterate days: malicious
2023-02-28 13:26:32,225.225 INFO:	Iterate days: benign
2023-02-28 13:26:32,231.231 INFO:	Iterate days: malicious
2023-02-28 13:26:32,234.234 INFO:	Iterate days: benign
2023-02-28 13:26:32,237.237 INFO:	Iterate days: malicious
2023-02-28 13:26:32,243.243 INFO:	Iterate days: benign
2023-02-28 13:26:32,249.249 INFO:	Iterate days: malicious
2023-02-28 13:26:32,263.263 INFO:	Iterate days: benign
2023-02-28 13:26:32,267.267 INFO:	Iterate days: malicious
2023-02-28 13:26:32,273.273 INFO:	Iterate days: benign
2023-02-28 13:26:32,280.280 INFO:	Iterate days: malicious
2023-02-28 13:26:32,287.287 INFO:	Iterate days: benign
2023-02-28 13:26:32,289.289 INFO:	Iterate days: malicious
2023-02-28 13:26:32,295.295 INFO:	Iterate days: benign
2023-02-28 13:26:32,302.302 INFO:	Iterate days: malicious
2023-02-28 13:26:32,305.305 INFO:	Iterate days: benign
2023-02-28 13:26:32,308.308 INFO:	Iterate days: malicious
2023-02-28 13:26:32,313.313 INFO:	Client structure identified
2023-02-28 13:26:32,314.314 INFO:	Client structure identified
2023-02-28 13:26:32,315.315 INFO:	Client structure identified
2023-02-28 13:26:32,327.327 INFO:	Created dataset
2023-02-28 13:26:32,327.327 INFO:	Initialized training queue
2023-02-28 13:26:32,328.328 INFO:	Initialized validation queue
2023-02-28 13:26:32,329.329 INFO:	epoch 0 lr 2.500000e-02
2023-02-28 13:26:57,952.952 INFO:	train 000 2.296323e+00 6.250000 31.250000
2023-02-28 13:33:42,741.741 INFO:	train_acc 90.040377
2023-02-28 13:33:43,919.919 INFO:	valid 000 4.991073e+00 56.250000 62.500000
2023-02-28 13:34:06,414.414 INFO:	valid_acc 63.122476
2023-02-28 13:34:06,703.703 INFO:	search_space.genotype = Genotype(normal=[('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_3x3', 3), ('dil_conv_3x3', 4), ('max_pool_3x3', 2)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('dil_conv_3x3', 0), ('max_pool_3x3', 2), ('skip_connect', 1), ('avg_pool_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_5x5', 1), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6))
2023-02-28 13:34:08,912.912 INFO:	epoch 1 lr 2.495266e-02
2023-02-28 13:34:14,595.595 INFO:	train 000 7.496071e-02 100.000000 100.000000
2023-02-28 13:37:31,601.601 INFO:	train_acc 98.384926
2023-02-28 13:37:32,470.470 INFO:	valid 000 2.312227e+00 50.000000 75.000000
2023-02-28 13:37:54,985.985 INFO:	valid_acc 58.681023
2023-02-28 13:37:55,256.256 INFO:	search_space.genotype = Genotype(normal=[('dil_conv_3x3', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_3x3', 3), ('dil_conv_3x3', 4), ('dil_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('sep_conv_5x5', 1), ('dil_conv_5x5', 0), ('max_pool_3x3', 2), ('sep_conv_5x5', 2), ('dil_conv_3x3', 1), ('sep_conv_3x3', 2), ('sep_conv_5x5', 1)], reduce_concat=range(2, 6))
2023-02-28 13:37:55,289.289 INFO:	epoch 2 lr 2.483464e-02
2023-02-28 13:38:01,117.117 INFO:	train 000 4.183803e-02 100.000000 100.000000
2023-02-28 13:41:16,341.341 INFO:	train_acc 98.250336
2023-02-28 13:41:17,280.280 INFO:	valid 000 1.952864e+00 68.750000 75.000000
2023-02-28 13:41:39,747.747 INFO:	valid_acc 63.122476
2023-02-28 13:41:40,037.037 INFO:	search_space.genotype = Genotype(normal=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_3x3', 3), ('dil_conv_3x3', 4), ('dil_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('max_pool_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_3x3', 2), ('dil_conv_5x5', 2), ('sep_conv_5x5', 3), ('dil_conv_5x5', 4), ('sep_conv_3x3', 2)], reduce_concat=range(2, 6))
2023-02-28 13:41:40,044.044 INFO:	epoch 3 lr 2.467010e-02
2023-02-28 13:41:46,148.148 INFO:	train 000 3.004968e-01 93.750000 100.000000
2023-02-28 13:45:02,909.909 INFO:	train_acc 98.384926
2023-02-28 13:45:03,807.807 INFO:	valid 000 1.407723e+00 75.000000 93.750000
2023-02-28 13:45:25,986.986 INFO:	valid_acc 63.122476
2023-02-28 13:45:26,140.140 INFO:	search_space.genotype = Genotype(normal=[('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 2), ('sep_conv_3x3', 1), ('max_pool_3x3', 2), ('dil_conv_5x5', 0), ('dil_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('max_pool_3x3', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 0), ('dil_conv_5x5', 2), ('sep_conv_5x5', 3), ('dil_conv_5x5', 4), ('sep_conv_3x3', 2)], reduce_concat=range(2, 6))
2023-02-28 13:45:26,152.152 INFO:	epoch 4 lr 2.445969e-02
2023-02-28 13:45:32,257.257 INFO:	train 000 3.644057e-02 100.000000 100.000000
2023-02-28 13:48:47,329.329 INFO:	train_acc 98.250336
2023-02-28 13:48:48,552.552 INFO:	valid 000 5.424083e+00 6.250000 18.750000
2023-02-28 13:49:10,795.795 INFO:	valid_acc 27.456258
2023-02-28 13:49:10,940.940 INFO:	search_space.genotype = Genotype(normal=[('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('max_pool_3x3', 2), ('dil_conv_3x3', 3), ('dil_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('max_pool_3x3', 1), ('dil_conv_3x3', 2), ('max_pool_3x3', 1), ('sep_conv_3x3', 1), ('dil_conv_5x5', 3), ('dil_conv_5x5', 4), ('dil_conv_3x3', 2)], reduce_concat=range(2, 6))
2023-02-28 13:49:10,948.948 INFO:	epoch 5 lr 2.420423e-02
2023-02-28 13:49:16,654.654 INFO:	train 000 2.256802e-02 100.000000 100.000000
2023-02-28 13:52:30,990.990 INFO:	train_acc 98.384926
2023-02-28 13:52:32,203.203 INFO:	valid 000 1.359902e+00 75.000000 81.250000
2023-02-28 13:52:55,089.089 INFO:	valid_acc 62.584118
2023-02-28 13:52:55,244.244 INFO:	search_space.genotype = Genotype(normal=[('max_pool_3x3', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('max_pool_3x3', 3), ('max_pool_3x3', 2), ('dil_conv_3x3', 3), ('max_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 0), ('sep_conv_3x3', 1), ('dil_conv_3x3', 2), ('avg_pool_3x3', 0), ('dil_conv_5x5', 1), ('dil_conv_5x5', 2), ('dil_conv_3x3', 3), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6))
2023-02-28 13:52:55,251.251 INFO:	epoch 6 lr 2.390474e-02
2023-02-28 13:53:00,425.425 INFO:	train 000 2.494897e-01 93.750000 100.000000
2023-02-28 13:56:15,780.780 INFO:	train_acc 98.519515
